Marca| Sección| Categoría| Producto| Precio original| Precio reventa| Vínculo| Imagen|
Mattelsa| hombre| Camiseta| camiseta-en-pique-azul-oscuro-texto-65287| 48000| 52800| https://www.mattelsa.net/hombre/camiseta-en-pique-azul-oscuro-texto-65287| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65287-1.jpg|
Mattelsa| hombre| Camisa| camisa-cafe-basico-66948| 80000| 88000| https://www.mattelsa.net/hombre/camisa-cafe-basico-66948| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66948-1.jpg|
Mattelsa| hombre| Camiseta| camiseta-amarillo-texto-61023| 42000| 46200| https://www.mattelsa.net/hombre/camiseta-amarillo-texto-61023| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61023-1.jpg|
Mattelsa| hombre| Camiseta| camiseta-marfil-bloques-66082| 52000| 57200| https://www.mattelsa.net/hombre/camiseta-marfil-bloques-66082| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66082-1.jpg|
Mattelsa| hombre| Camiseta| camiseta-oversize-blanco-bloques-64401| 48000| 52800| https://www.mattelsa.net/hombre/camiseta-oversize-blanco-bloques-64401| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64401-1.jpg|
Mattelsa| hombre| Jeans| jeans-regular-fit-azul-oscuro-basico-67224| 108000| 118800| https://www.mattelsa.net/hombre/jeans-regular-fit-azul-oscuro-basico-67224| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/7/67224-1.jpg|
Mattelsa| hombre| Tank| tank-blanco-ilustracion-66958| 42000| 46200| https://www.mattelsa.net/hombre/tank-blanco-ilustracion-66958| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66958-1.jpg|
Mattelsa| hombre| Chaqueta| chaqueta-mostaza-texto-66952| 140000| 154000| https://www.mattelsa.net/hombre/chaqueta-mostaza-texto-66952| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66952-1.jpg|
Mattelsa| hombre| Shorts| shorts-azul-oscuro-basico-66338| 74000| 81400| https://www.mattelsa.net/hombre/shorts-azul-oscuro-basico-66338| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66338-1.jpg|
Mattelsa| hombre| Joggers| joggers-azul-texto-66332| 88000| 96800| https://www.mattelsa.net/hombre/joggers-azul-texto-66332| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66332-1.jpg|
Mattelsa| hombre| Camiseta| camiseta-oversize-azul-oscuro-basico-66313| 50000| 55000| https://www.mattelsa.net/hombre/camiseta-oversize-azul-oscuro-basico-66313| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66313-1.jpg|
