Marca| Sección| Categoría| Producto| Precio original| Precio reventa| Vínculo| Imagen|
Mattelsa| sale_hombre| Jeans| jeans-super-skinny-fit-azul-medio-basico-62227| 60000| 66000| https://www.mattelsa.net/sale/hombre/jeans-super-skinny-fit-azul-medio-basico-62227| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62227-1.jpg|
Mattelsa| sale_hombre| Pantalón| pantalon-cargo-gris-basico-58702| 80000| 88000| https://www.mattelsa.net/sale/hombre/pantalon-cargo-gris-basico-58702| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/8/58702-1.jpg|
Mattelsa| sale_hombre| Joggers| joggers-perchado-gris-camuflado-63008| 64000| 70400| https://www.mattelsa.net/sale/hombre/joggers-perchado-gris-camuflado-63008| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63008-1.jpg|
Mattelsa| sale_hombre| Polo| polo-en-pique-negro-ilustracion-62565| 42000| 46200| https://www.mattelsa.net/sale/hombre/polo-en-pique-negro-ilustracion-62565| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62565-1.jpg|
Mattelsa| sale_hombre| Camisa| camisa-manga-corta-negro-miniprint-64345| 45000| 49500| https://www.mattelsa.net/sale/hombre/camisa-manga-corta-negro-miniprint-64345| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64345-1.jpg|
Mattelsa| sale_hombre| Pantalón| pantalon-cafe-cargo-59827| 80000| 88000| https://www.mattelsa.net/sale/hombre/pantalon-cafe-cargo-59827| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/9/59827-1.jpg|
Mattelsa| sale_hombre| Shorts| shorts-negro-basico-61809| 44000| 48400| https://www.mattelsa.net/sale/hombre/shorts-negro-basico-61809| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61809-1.jpg|
Mattelsa| sale_hombre| Shorts| shorts-denim-azul-claro-destroyers-62236| 55000| 60500| https://www.mattelsa.net/sale/hombre/shorts-denim-azul-claro-destroyers-62236| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62236-1.jpg|
Mattelsa| sale_hombre| Shorts| shorts-gris-basico-63005| 40000| 44000| https://www.mattelsa.net/sale/hombre/shorts-gris-basico-63005| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63005-1.jpg|
Mattelsa| sale_hombre| Shorts| shorts-gris-camuflado-63003| 48000| 52800| https://www.mattelsa.net/sale/hombre/shorts-gris-camuflado-63003| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63003-1.jpg|
