Marca| Sección| Categoría| Producto| Precio original| Precio reventa| Vínculo| Imagen|
Mattelsa| sale_mujer| Jeans| jeans-wide-leg-tiro-alto-azul-apliques-62210| 60000| 66000| https://www.mattelsa.net/sale/mujer/jeans-wide-leg-tiro-alto-azul-apliques-62210| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62210-1.jpg|
Mattelsa| sale_mujer| Shorts| shorts-denim-azul-oscuro-rotos-62207| 46000| 50600| https://www.mattelsa.net/sale/mujer/shorts-denim-azul-oscuro-rotos-62207| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62207-1.jpg|
Mattelsa| sale_mujer| Falda| falda-corta-negro-flores-61730| 22000| 24200| https://www.mattelsa.net/sale/mujer/falda-corta-negro-flores-61730| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61730-1.jpg|
Mattelsa| sale_mujer| Enterizo| enterizo-corto-amarillo-basico-61691| 32000| 35200| https://www.mattelsa.net/sale/mujer/enterizo-corto-amarillo-basico-61691| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61691-1.jpg|
Mattelsa| sale_mujer| Buzo| buzo-hoodie-perchado-negro-texto-63014| 48000| 52800| https://www.mattelsa.net/sale/mujer/buzo-hoodie-perchado-negro-texto-63014| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63014-1.jpg|
Mattelsa| sale_mujer| Camiseta| camiseta-negro-ilustracion-63029| 22000| 24200| https://www.mattelsa.net/sale/mujer/camiseta-negro-ilustracion-63029| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63029-1.jpg|
Mattelsa| sale_mujer| Shorts| shorts-denim-rosado-basico-61862| 44000| 48400| https://www.mattelsa.net/sale/mujer/shorts-denim-rosado-basico-61862| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61862-1.jpg|
Mattelsa| sale_mujer| Joggers| joggers-verde-basico-62549| 40000| 44000| https://www.mattelsa.net/sale/mujer/joggers-verde-basico-62549| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62549-1.jpg|
Mattelsa| sale_mujer| Falda| falda-corta-rojo-basico-63090| 26000| 28600| https://www.mattelsa.net/sale/mujer/falda-corta-rojo-basico-63090| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63090-1.jpg|
Mattelsa| sale_mujer| Camisa| camisa-manga-larga-con-recogido-marfil-flores-59566| 30000| 33000| https://www.mattelsa.net/sale/mujer/camisa-manga-larga-con-recogido-marfil-flores-59566| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/9/59566-1.jpg|
Mattelsa| sale_mujer| Falda| falda-midi-rosado-basico-62547| 30000| 33000| https://www.mattelsa.net/sale/mujer/falda-midi-rosado-basico-62547| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62547-1.jpg|
Mattelsa| sale_mujer| Camiseta| camiseta-blanco-rayas-64662| 22000| 24200| https://www.mattelsa.net/sale/mujer/camiseta-blanco-rayas-64662| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64662-1.jpg|
Mattelsa| sale_mujer| Top| top-manga-larga-morado-miniprint-64700| 26000| 28600| https://www.mattelsa.net/sale/mujer/top-manga-larga-morado-miniprint-64700| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64700-1.jpg|
Mattelsa| sale_mujer| Camisa| camisa-manga-corta-terracota-miniprint-63595| 35000| 38500| https://www.mattelsa.net/sale/mujer/camisa-manga-corta-terracota-miniprint-63595| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63595-1.jpg|
