Marca| Sección| Categoría| Producto| Precio original| Precio reventa| Vínculo| Imagen|
Mattelsa| mujer| Pantalón| pantalon-cargo-coral-apliques-63844| 100000| 110000| https://www.mattelsa.net/mujer/pantalon-cargo-coral-apliques-63844| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63844-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-oversize-blanco-animal-print-65422| 42000| 46200| https://www.mattelsa.net/mujer/camiseta-oversize-blanco-animal-print-65422| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65422-1.jpg|
Mattelsa| mujer| Shorts| shorts-denim-azul-lavanderia-64992| 76000| 83600| https://www.mattelsa.net/mujer/shorts-denim-azul-lavanderia-64992| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64992-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-crop-azul-texto-63191| 32000| 35200| https://www.mattelsa.net/mujer/camiseta-crop-azul-texto-63191| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/3/63191-1.jpg|
Mattelsa| mujer| Camisa| camisa-manga-corta-rosado-rayas-66198| 62000| 68200| https://www.mattelsa.net/mujer/camisa-manga-corta-rosado-rayas-66198| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66198-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-amarillo-basico-66126| 38000| 41800| https://www.mattelsa.net/mujer/camiseta-amarillo-basico-66126| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66126-1.jpg|
Mattelsa| mujer| Top| top-tank-negro-basico-69921| 34000| 37400| https://www.mattelsa.net/mujer/top-tank-negro-basico-69921| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/9/69921-1.jpg|
Mattelsa| mujer| Camisa| camisa-manga-larga-oversize-mostaza-cuadros-67093| 72000| 79200| https://www.mattelsa.net/mujer/camisa-manga-larga-oversize-mostaza-cuadros-67093| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/7/67093-1.jpg|
Mattelsa| mujer| Harems| harems-beige-cuadros-66192| 70000| 77000| https://www.mattelsa.net/mujer/harems-beige-cuadros-66192| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66192-1.jpg|
Mattelsa| mujer| Top| top-tiras-rojo-basico-66155| 34000| 37400| https://www.mattelsa.net/mujer/top-tiras-rojo-basico-66155| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66155-1.jpg|
Mattelsa| mujer| Chaqueta| chaqueta-denim-azul-apliques-65595| 116000| 127600| https://www.mattelsa.net/mujer/chaqueta-denim-azul-apliques-65595| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65595-1.jpg|
Mattelsa| mujer| Vestido| vestido-corto-manga-larga-beige-miniprint-65438| 76000| 83600| https://www.mattelsa.net/mujer/vestido-corto-manga-larga-beige-miniprint-65438| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65438-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-con-ruedo-rustico-verde-ilustracion-65413| 36000| 39600| https://www.mattelsa.net/mujer/camiseta-con-ruedo-rustico-verde-ilustracion-65413| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65413-1.jpg|
Mattelsa| mujer| Jeans| jeans-wide-leg-tiro-alto-azul-apliques-64996| 104000| 114400| https://www.mattelsa.net/mujer/jeans-wide-leg-tiro-alto-azul-apliques-64996| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64996-1.jpg|
Mattelsa| mujer| Shorts| shorts-denim-azul-apliques-64988| 80000| 88000| https://www.mattelsa.net/mujer/shorts-denim-azul-apliques-64988| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64988-1.jpg|
Mattelsa| mujer| Top| top-manga-larga-blanco-basico-64703| 40000| 44000| https://www.mattelsa.net/mujer/top-manga-larga-blanco-basico-64703| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64703-1.jpg|
Mattelsa| mujer| Falda| falda-denim-negro-apliques-62869| 74000| 81400| https://www.mattelsa.net/mujer/falda-denim-negro-apliques-62869| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62869-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-oversize-blanco-texto-62699| 34000| 37400| https://www.mattelsa.net/mujer/camiseta-oversize-blanco-texto-62699| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62699-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-rosado-ilustracion-62138| 36000| 39600| https://www.mattelsa.net/mujer/camiseta-rosado-ilustracion-62138| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/2/62138-1.jpg|
Mattelsa| mujer| Joggers| joggers-perchado-rojo-texto-61701| 76000| 83600| https://www.mattelsa.net/mujer/joggers-perchado-rojo-texto-61701| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61701-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-rojo-texto-61666| 36000| 39600| https://www.mattelsa.net/mujer/camiseta-rojo-texto-61666| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61666-1.jpg|
Mattelsa| mujer| Enterizo| enterizo-corto-negro-basico-61509| 66000| 72600| https://www.mattelsa.net/mujer/enterizo-corto-negro-basico-61509| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61509-1.jpg|
Mattelsa| mujer| Top| top-one-shoulder-lila-basico-61123| 32000| 35200| https://www.mattelsa.net/mujer/top-one-shoulder-lila-basico-61123| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/1/61123-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-crop-con-ruedo-rustico-negro-ilustracion-59524| 36000| 39600| https://www.mattelsa.net/mujer/camiseta-crop-con-ruedo-rustico-negro-ilustracion-59524| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/5/9/59524-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-ajustada-blanco-basico-69922| 32000| 35200| https://www.mattelsa.net/mujer/camiseta-ajustada-blanco-basico-69922| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/9/69922-1.jpg|
Mattelsa| mujer| Falda| falda-corta-rosado-basico-69639| 54000| 59400| https://www.mattelsa.net/mujer/falda-corta-rosado-basico-69639| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/9/69639-1.jpg|
Mattelsa| mujer| Buzo| buzo-pullover-marfil-bloques-66215| 68000| 74800| https://www.mattelsa.net/mujer/buzo-pullover-marfil-bloques-66215| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/6/66215-1.jpg|
Mattelsa| mujer| Shorts| shorts-plano-azul-miniprint-65944| 52000| 57200| https://www.mattelsa.net/mujer/shorts-plano-azul-miniprint-65944| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65944-1.jpg|
Mattelsa| mujer| Vestido| vestido-corto-con-bolero-azul-flores-65927| 72000| 79200| https://www.mattelsa.net/mujer/vestido-corto-con-bolero-azul-flores-65927| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65927-1.jpg|
Mattelsa| mujer| Jeans| jeans-wide-leg-tiro-alto-azul-cortes-65615| 94000| 103400| https://www.mattelsa.net/mujer/jeans-wide-leg-tiro-alto-azul-cortes-65615| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65615-1.jpg|
Mattelsa| mujer| Shorts| shorts-denim-azul-claro-rotos-65603| 76000| 83600| https://www.mattelsa.net/mujer/shorts-denim-azul-claro-rotos-65603| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65603-1.jpg|
Mattelsa| mujer| Chaqueta| chaqueta-rompevientos-hoodie-verde-basico-65452| 102000| 112200| https://www.mattelsa.net/mujer/chaqueta-rompevientos-hoodie-verde-basico-65452| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/5/65452-1.jpg|
Mattelsa| mujer| Camiseta| camiseta-morado-icono-64673| 36000| 39600| https://www.mattelsa.net/mujer/camiseta-morado-icono-64673| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64673-1.jpg|
Mattelsa| mujer| Top| top-tiras-azul-basico-64545| 30000| 33000| https://www.mattelsa.net/mujer/top-tiras-azul-basico-64545| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64545-1.jpg|
Mattelsa| mujer| Vestido| vestido-corto-denim-cafe-basico-64478| 106000| 116600| https://www.mattelsa.net/mujer/vestido-corto-denim-cafe-basico-64478| https://www.mattelsa.net/media/catalog/product/cache/25f4c2693a2e8545835ae720e71a1a77/6/4/64478-1.jpg|
