Marca| Sección| Categoría| Producto| Precio original| Vínculo| Imagen|
True| hombre| CAMISETA| Classic Polo T-Shirt - Ivory
Precio habitual
$140.000| 140000.0| https://trueshop.co/collections/camisetas/products/classic-polo-t-shirt-ivory| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/classic_polo_t-shirt_ivory_camisetas_1_720x720.jpg?v=1661884826|
True| mujer| CAMISETA| Classic Polo T-Shirt - Ivory
Precio habitual
$140.000| 140000.0| https://trueshop.co/collections/camisetas/products/classic-polo-t-shirt-ivory| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/classic_polo_t-shirt_ivory_camisetas_1_720x720.jpg?v=1661884826|
True| hombre| CAMISETA| Classic Polo T-Shirt - Black
Precio habitual
$140.000| 140000.0| https://trueshop.co/collections/camisetas/products/classic-polo-t-shirt-black| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/classic_polo_t-shirt_black_camisetas_1_720x720.jpg?v=1661877270|
True| mujer| CAMISETA| Classic Polo T-Shirt - Black
Precio habitual
$140.000| 140000.0| https://trueshop.co/collections/camisetas/products/classic-polo-t-shirt-black| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/classic_polo_t-shirt_black_camisetas_1_720x720.jpg?v=1661877270|
True| hombre| CAMISETA| Chess Classic Polo T-Shirt - Pine Green
Precio habitual
$150.000| 150000.0| https://trueshop.co/collections/camisetas/products/classic-polo-t-shirt-soft-pink| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/chess_classic_polo_t-shirt_pine_geen_camisetas_1_1_f5f09170-fc4c-4832-b307-a032d9b5092b_720x720.jpg?v=1662509508|
True| mujer| CAMISETA| Chess Classic Polo T-Shirt - Pine Green
Precio habitual
$150.000| 150000.0| https://trueshop.co/collections/camisetas/products/classic-polo-t-shirt-soft-pink| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/chess_classic_polo_t-shirt_pine_geen_camisetas_1_1_f5f09170-fc4c-4832-b307-a032d9b5092b_720x720.jpg?v=1662509508|
True| hombre| CAMISETA| Striped Cropped LS Polo - Pine Green
Precio habitual
$150.000| 150000.0| https://trueshop.co/collections/camisetas/products/cropped-polo-ls-blue-stripes| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/stripes_cropped_polo_ls_pine_green_t-shirts_tops_bodies_1_1_5055824f-cba6-4198-9de8-cd6bcdf7e4fa_720x720.jpg?v=1662508794|
True| mujer| CAMISETA| Striped Cropped LS Polo - Pine Green
Precio habitual
$150.000| 150000.0| https://trueshop.co/collections/camisetas/products/cropped-polo-ls-blue-stripes| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/stripes_cropped_polo_ls_pine_green_t-shirts_tops_bodies_1_1_5055824f-cba6-4198-9de8-cd6bcdf7e4fa_720x720.jpg?v=1662508794|
True| hombre| CAMISETA| Striped LS Polo - Pine Green
Precio habitual
$175.000| 175000.0| https://trueshop.co/collections/camisetas/products/stripes-polo-ls-pine-green| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/stripes_polo_ls_pine_green_camisetas_camibusos_polo_1_1_720x720.jpg?v=1662508757|
True| mujer| CAMISETA| Striped LS Polo - Pine Green
Precio habitual
$175.000| 175000.0| https://trueshop.co/collections/camisetas/products/stripes-polo-ls-pine-green| https://cdn.shopify.com/s/files/1/0311/9398/9260/products/stripes_polo_ls_pine_green_camisetas_camibusos_polo_1_1_720x720.jpg?v=1662508757|
True| hombre| CAMISETA| Love Story Embroidered LS T-Shirt - White
Precio habitual
